"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.288224418176431,-0.287657536424521,-0.288676452338676,0.000228124275692247,102,"Dataset 1","Little noise",-0.299630631961043,-0.276818204391819
-0.286212304691451,-0.285473382867675,-0.286733879570413,0.000253176127191902,103,"Dataset 1","Little noise",-0.298871111051046,-0.273553498331856
-0.284284439958205,-0.283728879294577,-0.284994065264427,0.000224835824140465,104,"Dataset 1","Little noise",-0.295526231165228,-0.273042648751182
-0.281973807550011,-0.281456712188684,-0.28249363766559,0.000246650673029247,105,"Dataset 1","Little noise",-0.294306341201473,-0.269641273898549
-0.279836428059239,-0.279043282472543,-0.280586520291292,0.000269650202399474,106,"Dataset 1","Little noise",-0.293318938179213,-0.266353917939265
-0.277986236582959,-0.2775144574128,-0.278582812480212,0.000212881476106502,107,"Dataset 1","Little noise",-0.288630310388284,-0.267342162777634
-0.275786057668071,-0.275257794798478,-0.276376064749587,0.000225414598511563,108,"Dataset 1","Little noise",-0.287056787593649,-0.264515327742493
-0.274060865122838,-0.273570032022455,-0.274668330564052,0.000221975925109799,109,"Dataset 1","Little noise",-0.285159661378328,-0.262962068867348
-0.272011570192462,-0.27147772131295,-0.272720801683737,0.000286493737673329,110,"Dataset 1","Little noise",-0.286336257076128,-0.257686883308796
-0.269972311366809,-0.26931592833033,-0.270766239896014,0.000247635040046133,111,"Dataset 1","Little noise",-0.282354063369116,-0.257590559364502
-0.267998543242381,-0.267263969551712,-0.268403715687426,0.000249567299841712,112,"Dataset 1","Little noise",-0.280476908234467,-0.255520178250295
-0.26600884544935,-0.26545453447501,-0.266505491186953,0.00023989169993605,113,"Dataset 1","Little noise",-0.278003430446152,-0.254014260452547
-0.264326472133496,-0.263583094951163,-0.264765796363198,0.000218100216298751,114,"Dataset 1","Little noise",-0.275231482948434,-0.253421461318558
-0.262356383422965,-0.261670131759273,-0.262768990742339,0.000254895170182919,115,"Dataset 1","Little noise",-0.275101141932111,-0.249611624913819
-0.260591255763608,-0.259974414434507,-0.261257232245703,0.000261231217046345,116,"Dataset 1","Little noise",-0.273652816615925,-0.247529694911291
-0.258359884453571,-0.257823845533581,-0.258982877356107,0.000251905603804536,117,"Dataset 1","Little noise",-0.270955164643798,-0.245764604263344
-0.25660126089871,-0.255973533525142,-0.257132196467389,0.000240002085553712,118,"Dataset 1","Little noise",-0.268601365176396,-0.244601156621024
-0.254750485148863,-0.254256040474191,-0.255377127429075,0.000238524840753373,119,"Dataset 1","Little noise",-0.266676727186532,-0.242824243111194
