"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.224671469974184,-0.224173864113018,-0.225196980992227,0.000237608312997932,53,"Dataset 1","Little noise",-0.236551885624081,-0.212791054324287
-0.224986489003001,-0.224443314930527,-0.225600982906879,0.000239293738788113,54,"Dataset 1","Little noise",-0.236951175942407,-0.213021802063595
-0.225181623756737,-0.224637917398432,-0.225975450200866,0.000247822356118392,55,"Dataset 1","Little noise",-0.237572741562657,-0.212790505950817
-0.225288390435749,-0.224736007670771,-0.225975801406025,0.000240247153216065,56,"Dataset 1","Little noise",-0.237300748096552,-0.213276032774946
-0.225303703220919,-0.224759531735407,-0.225958414969015,0.000282877781076951,57,"Dataset 1","Little noise",-0.239447592274767,-0.211159814167071
-0.22523638041539,-0.224752556318709,-0.225739353812216,0.000207290687795843,58,"Dataset 1","Little noise",-0.235600914805182,-0.214871846025598
-0.224914541771463,-0.224327054662256,-0.225562149555644,0.00024480500833088,59,"Dataset 1","Little noise",-0.237154792188007,-0.212674291354919
-0.224165533154699,-0.223736302891405,-0.224712922382873,0.000200446954622182,60,"Dataset 1","Little noise",-0.234187880885808,-0.21414318542359
-0.223872149596689,-0.223175243149856,-0.224339583939126,0.000257989582524162,61,"Dataset 1","Little noise",-0.236771628722897,-0.210972670470481
-0.223878492301774,-0.223384846318763,-0.224578027428541,0.000242573267828147,62,"Dataset 1","Little noise",-0.236007155693181,-0.211749828910367
-0.22333982429686,-0.2228267686321,-0.223978710552677,0.000233505072413383,63,"Dataset 1","Little noise",-0.235015077917529,-0.211664570676191
-0.222805455518544,-0.222270644500285,-0.223548453932696,0.000293191126916296,64,"Dataset 1","Little noise",-0.237465011864359,-0.208145899172729
-0.222058809319453,-0.221365750656674,-0.222514787950146,0.000270344926174818,65,"Dataset 1","Little noise",-0.235576055628194,-0.208541563010712
-0.2216546895964,-0.221068065682644,-0.222236161231444,0.00024917685654192,66,"Dataset 1","Little noise",-0.234113532423496,-0.209195846769304
-0.221215931940521,-0.220738481045453,-0.221794486972123,0.00021755807953774,67,"Dataset 1","Little noise",-0.232093835917408,-0.210338027963634
-0.220643766209088,-0.219908066041903,-0.221289160678579,0.000259165616218356,68,"Dataset 1","Little noise",-0.233602047020006,-0.20768548539817
-0.219913428010083,-0.219284719936529,-0.220430328244651,0.000217836121172041,69,"Dataset 1","Little noise",-0.230805234068685,-0.209021621951481
-0.21930270961503,-0.218843628978813,-0.220253625871966,0.000255493530566432,70,"Dataset 1","Little noise",-0.232077386143352,-0.206528033086708
-0.218406396977429,-0.217969800296985,-0.218968537048254,0.000227183191751399,71,"Dataset 1","Little noise",-0.229765556564999,-0.207047237389859
-0.217860090455064,-0.217434517454104,-0.21873530153565,0.000261887738138472,72,"Dataset 1","Little noise",-0.230954477361988,-0.20476570354814
-0.217623549384208,-0.217048773316373,-0.218220030415704,0.000252175451641797,73,"Dataset 1","Little noise",-0.230232321966298,-0.205014776802118
-0.217374161997809,-0.216666269080558,-0.217916465302365,0.000244463398827661,74,"Dataset 1","Little noise",-0.229597331939192,-0.205150992056426
-0.217095423319591,-0.216620587597714,-0.217596301987324,0.000230304448842517,75,"Dataset 1","Little noise",-0.228610645761717,-0.205580200877465
-0.216470281285993,-0.21599886933741,-0.217073834407043,0.00024887169161578,76,"Dataset 1","Little noise",-0.228913865866782,-0.204026696705204
